countryName,countryCode,indicatorName,indicatorCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,AUS,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,,,,,,99.93885999917984,,,98.78406000137329,99.52441999316216,99.46086001396179,98.87690997123718,97.84417009353638,97.502769947052,
Australia,AUS,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,,,,,,99.43747001886368,,,97.05447006225586,97.9831600189209,97.54332995414734,96.94510006904602,96.05983996391296,95.9571099281311,
Australia,AUS,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
Australia,AUS,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,0.323500007390976,2.705689907073975,2.304460048675537,0.0482699982821941,0.0719600021839142,0.0281300004571676,0.0077800001017749,0.0577899999916553,0.191650003194809,0.2140399962663651,0.5808500051498413,0.3678100109100342,0.2964099943637848,0.2074500024318695,
Australia,AUS,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,,,,,,0.3181299865245819,0.3449499905109406,0.426939994096756,2.105469942092896,1.268679976463318,1.526530027389526,2.118969917297363,3.074769973754883,3.292399883270264,
Australia,AUS,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,missing,missing,missing,missing,missing,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,missing
Austria,AUT,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,98.69904005527496,97.94076991081238,98.07326996326447,98.51999998092651,98.70411002635956,98.6580799818039,98.00200998783112,98.6687799692154,98.7414699792862,98.76642000675201,98.82518994808197,99.05220997333527,98.32407999038696,98.5005099773407,
Austria,AUT,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,96.86794996261597,97.16296005249023,97.31132006645203,95.77458000183105,95.94620990753174,95.88458013534546,94.9181900024414,95.290030002594,95.61984014511108,95.87003993988037,95.93314981460571,96.213210105896,95.58015012741089,95.18238019943237,
Austria,AUT,"In-school proxy, primary age, female (%)",UIS.INS.PRM.F,98.60432994365692,98.00592005252838,97.92909002304077,98.30991995334625,98.52066004276276,98.60426998138428,97.921560049057,98.48531997203827,98.59544003009796,98.595370054245,98.71147000789642,98.91454994678497,98.22593998908997,98.42957997322083,
Austria,AUT,"In-school proxy, primary age, male (%)",UIS.INS.PRM.M,98.78893995285034,97.8789598941803,98.21068000793457,98.72053003311157,98.87959003448486,98.70942997932434,98.07854998111725,98.84284996986389,98.87920999526978,98.92769002914429,98.9321299791336,99.18133002519608,98.4162700176239,98.56733000278473,
Austria,AUT,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,95.25775003433228,95.37017011642456,95.65322017669678,96.03099989891052,96.18502998352051,96.23725008964539,95.8819899559021,96.01230001449585,96.13616991043091,96.28439998626709,96.30444002151489,96.62519001960754,96.00008010864258,95.56107997894287,
Austria,AUT,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,95.19612979888916,95.48172998428345,95.34906005859375,95.53107976913452,95.7195200920105,95.5503101348877,94.01767015457153,94.61302995681763,95.13283014297485,95.47809982299805,95.5812201499939,95.82270002365112,95.18343019485474,94.82523012161255,
Austria,AUT,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
Austria,AUT,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,1.300959944725037,2.059230089187622,1.926730036735535,1.480000019073486,1.295889973640442,1.341920018196106,1.997990012168884,1.331220030784607,1.258530020713806,1.233579993247986,1.17481005191803,0.947790026664734,1.675920009613037,1.499490022659302,
Austria,AUT,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,3.132050037384033,2.837039947509766,2.688679933547974,4.225419998168945,4.053790092468262,4.115419864654541,5.081809997558594,4.709969997406006,4.380159854888916,4.129960060119629,4.066850185394287,3.786789894104004,4.419849872589111,4.817619800567627,
Austria,AUT,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,missing
Azerbaijan,AZE,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,87.2459777992823,89.4463229413302,92.13952301798948,98.27657153922495,99.25473979540742,98.84333347737736,99.20518993472047,97.96503866358515,96.10565170358112,91.54974673671241,91.80679747553367,91.98900297028804,95.78239370054136,98.46187876215151,99.97341737174756
Azerbaijan,AZE,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,81.32350384318931,80.59075795801408,80.87283575141117,81.2095174099608,83.38007701337122,85.447852517248,88.40511430270907,93.39924612388499,99.30634006557739,99.62325260812248,84.93889024574841,84.95102500660727,85.28140095232125,88.99212747761737,88.12870640394596
Azerbaijan,AZE,"In-school proxy, primary age, female (%)",UIS.INS.PRM.F,86.51950055239405,88.18973204806998,90.92229236249327,96.38813992879118,,,,98.76707090169661,95.90647450216406,92.9934862831103,93.13721365955946,91.5656953337803,95.246626896745,98.02009036155022,99.96983521087422
Azerbaijan,AZE,"In-school proxy, primary age, male (%)",UIS.INS.PRM.M,87.88259621075397,90.54375801989305,93.20451114333119,99.93001013907174,,,,97.27494486928404,96.27654609101516,90.30896419401259,90.6451403271333,92.36052087745281,96.25423484783931,98.85217678989352,99.9765890588472
Azerbaijan,AZE,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,79.7183784362797,78.89792464466532,79.48648765325505,79.48465205256765,81.98045882097863,83.75682417168674,86.87890795098868,92.80284426199465,98.6900003689447,99.33643031083001,84.99404192806001,84.79948203402446,84.65551573078454,89.32304550181182,87.20541196367515
